Record ID,Date Published,Overall Rating,Passenger Country,Trip_verified,Comment title,Comment,Aircraft,Type Of Traveller,Seat Type,Origin,Destination,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Inflight Entertainment,Wifi & Connectivity
537,2019-09-25,10,United Kingdom,Not Verified,"""Good customer service""","Southend to Alicante with Ryanair. Great flight. Good customer service. I was feeling ill during the flight due to kidney problems. One air hostesses asked me if I was feeling better as I left the aircraft. Shame I don’t know her name, this was the first flight from Southend to Alicante on Sep 24th 2019. She allowed me to use the toilet that was out of order due to a water leak as I was going to be sick and didn’t have to get to the back of the plane.",Boeing 747,Family Leisure,Economy Class,Southend,Alicante,September 2019,5.0,5.0,5.0,5.0,5.0,yes,,
538,2019-09-25,1,Germany,Trip Verified,"""cannot find any positive aspect""","Frankfurt to Valencia. I cannot find any positive aspect of traveling with Ryanair. 1. Booking System of Ryanair: it is as shitty as you expect it to be from a low cost airline. The prices seem to appear low at first sight but in the end you end up with ruffly the same amount as with other airlines. They try to sell you so much shit you don't need. Like it was worth being in boarding group 1, going through a ""fast lane Check in""... In the end you just wait as long as everyone else because it doesn't make the whole boarding faster, but Ryanair sends you Emails saying ""better buy it, don't lose time at the airport, board hands free,..."" putting you under pressure to buy all the extras. Why would you need to book extra ""sitting together""? Despite the fact that you are able to spend 2 hours in a plane without sitting together and if needed kindly ask one of the other passengers to change seats. Ryanair's seat booking system could easily make you sit next to each other but it doesn't do it on purpose so you spend again extra 7€ or more just to sit to your beloved. All buttons on Ryanair's website which say something like ""add to card"" are highlighted but the ones which say ""skip"" are not just to make you feel you need to buy stuff. 2. The actual flight: In the airplane the whole tables are screwed to the seat so customers can't eat from them and the seats got no bags for your laptop etc. so Ryanair ""saves time"" during the cleanup for the next flight. Of course they always have some ""special offers"" in the air and they disturb you several times wanting you to buy parfumé or other stuff that you ""need right now"". 3. And what's about the luggage thing?! It always was a wired thing in every airline but Ryanair took it to another level. As it would matter if 2 kg too much on the luggage are taken out and put in your hand luggage, it's still on the same airplane?! Ryanair changed the policy of luggage in November 2018. So a normal hand luggage (55x40x20) that counts for every other airline is considered to be normal luggage for Ryanair now. And of course everyone who takes his old loved hand luggage now to the boarding gate is stopped by Ryanair and charged 25€ extra. So by bearing everything written in here in mind I cannot book any flights with Ryanair anymore and I don't recommend it to everyone else who are thinking about it. Globalization okay yes - but Ryanair is one of the bad examples of it.",,Couple Leisure,Economy Class,Frankfurt,Valencia,September 2019,1.0,1.0,1.0,1.0,1.0,no,1.0,1.0
539,2019-09-24,1,Romania,Trip Verified,"""Nobody was there to take control""","Don't be fooled by their low cost flights. With the delays they have, you'll end up spending more in an airport. We had a flight from Bari to Rome with a delay of 93 mins yesterday and due to bad weather conditions the plane landed in Bologna instead. After that, we didn't know what to do. Nobody was there to take control and tell us what will happen and to guide us to the next steps. They didn't even provide any water or biscuits. After which a bus was provided to take us to Rome for 4 hours bus ride. We were amongst the ""lucky ones"" as we boarded the 1st flight. They were only able to take 50 people for the 1st batch. For the 2nd batch, they had to wait 2-4 hours for the next bus. All in all, we arrived in Rome with a 9 hour delay from our original flight. We were supposed to arrive at 12am but we arrived at 9am today instead. We have another Ryanair flight today at 17.20 and of course, once again they are delayed. 2 hours of delay so far, I bet it would be much more.",,Couple Leisure,Economy Class,Bari,Rome,September 2019,1.0,1.0,,1.0,2.0,no,,
540,2019-09-23,2,Canada,Not Verified,"""really poor customer service""","Ibiza to Barcelona with Ryanair. Really bad experience, really poor customer service! Flight is cheap but there are waiting around the corner with a 56 euros fee when checking in. Be aware and go check out the website or even better, use Vueling Airlines!",,Family Leisure,Economy Class,Ibiza,Barcelona,September 2019,4.0,4.0,,1.0,1.0,no,,
541,2019-09-23,1,Germany,Trip Verified,"""impossible to get hold of customer service""","Barcelona to Berlin. I recently took my first flight with Ryanair. When I purchased my flight I added the priority 10kg bag for the extra 13€ each way. When I first got to the airport they informed me that my bag was too big. They told me the fee for oversized baggage was 40€ but I mentioned that I had purchased the priority bag and asked if that fee could be deducted from the oversized bag fee. They were very rude and blunt and told me ""too bad, it is your own fault."" In total I ended up paying 106€ round trip just for my bags. My second issue was when I got an email the night before my return flight informing me that Ryanair was on strike and to show up to the airport 3 hours before my flight, so we did. However, the flight still took off 1.5 hours later than scheduled. After arriving home, we quickly grabbed our bags and went home. When unpacked my bag later that night noticed the entire bottom of my suitcase was cracked and broken. This is a brand new high-quality suitcase and it can no longer be used. I tried to email Ryanair followed by multiple phone calls and attempting to use their 'chatbot', to no avail. So I followed up every single day for the next five days, emailing, calling and trying the chatbot. They also charge for every call to their customer service center (yes, it’s true) so I racked up quite a bill just trying to get ahold of someone. The customer service phone reps all told me different things: one person said I would have to contact the airport and ask them how I would get a reference number since I didn't do it when I arrived, another told me it could only have been done at the time of arrival, and another person just told me to fill out a contact form online with pictures attached. Calling the phone numbers I was given were either disconnected numbers or just a loop of automated voice options which lead you back to the original menu options or tell you where to look online. Dealing with their customer service was a loop of confusion and mixed messages, and my time for filing claims ran out. It’s impossible for customers to get a hold of customer service or file claims just so they do not have to deal with the issues that arise.",,Solo Leisure,Economy Class,Barcelona,Berlin,September 2019,1.0,3.0,,1.0,2.0,no,1.0,
542,2019-09-22,10,Australia,Trip Verified,"""no issues what so ever""","Travelled from Dublin to Bergamo with Ryanair today in seat 2D, which was well worth the extra cost for the increased legroom. Flight left on time and arrived early. We had no issues what so ever. Read the terms and conditions carefully and follow the rules and you can't go wrong, its all on the website. Its a low cost airline that gets you from A to B, any expectations beyond this are misguided!",Boeing 737-800,Family Leisure,Economy Class,Dublin,Bergamo,September 2019,4.0,4.0,,5.0,5.0,yes,,
543,2019-09-22,1,United States,Trip Verified,"""not allowed on the flight""","We booked Ryanair for from Dublin to Edinburgh. Was great price and I did not think much about all of their limitations and surcharges. I did not have way to pre book and got to airport to get boarding pass. £110 to print boarding passes for wife and I on inbound trip. Took less than 5 minutes to check us in. Unbelievable! Could not find anything in email confirmation for flight that indicated there would be a charge for this. I'm sure it's in the fine print somewhere but I could not find it. Whatever, we dealt with it and enjoyed Scotland. On our way back, that's when things took a turn for the worse. We pre-check this time and go to turn in our paid for checked bag. It's a bit over 10kg limit. I'm American and did not even think to check conversion. Why the heck would a checked bag have 22lb limitation? They wanted £88 for the extra weight after I already paid £60 for checked bag. I'm furious, might have cussed a few times and the attendant now tells me we are not allowed on the flight. Yes, we were booted and had to find another method to get back to Dublin. They even called the police. I will never give Ryanair another dollar.",,Couple Leisure,Economy Class,Dublin,Edinburgh,September 2019,1.0,1.0,,1.0,1.0,no,,
544,2019-09-19,1,United Kingdom,Not Verified,"""My holiday was ruined by this company""","Definitely my last experience with Ryanair. I had selected MS on the passenger details and was unable to do the check in online due to the fact that the person was 50 years old. I have been told by the customer service team to sort this out at the airport. I had to pay £55 to do the check in at the airport after explaining my case. The customer service team told me in a rude unprofessional way that it was my mistake as I selected MS which means under 16 yo and that’s why I wasn’t unable to do the check in online to a 50 years old woman. Here is the definition of MS in UK: Ms. vs. Miss (and Mrs.) ... Ms. is a title of respect before a woman's name or position that does not indicate her marital status. Miss is title of respect before a woman's name or position that is used when a woman is unmarried (It is often used in reference to a child, teen, or student). I sent several emails to the customer service team and they all have been ignored. My holiday was ruined by this company. Never ever again",,Family Leisure,Economy Class,London,Venice,August 2019,1.0,1.0,1.0,1.0,1.0,no,1.0,1.0
545,2019-09-18,1,United States,Trip Verified,"""the worst experience""","Frankfurt to Dublin. Dealing with this company has by far been one of the worst experiences I have had when working with an airline. I had a change of flight and had purchased the travel insurance to make sure I was covered. When making the initial purchase, the travel insurance was offered to me after I put in all the information stating I was an American and not an EU resident. When submitting a claim to get some money back, they explicitly denied my claim because of not having an EU residence. Working with their customer service to work on the claim, they have not provided any of the information that I have asked for in order to look through the ""insurance"" that was provided. Absolutely a terrible company and I will never fly with them again and recommend to everyone to avoid this company.",,Couple Leisure,Economy Class,Frankfurt,Dublin,September 2019,2.0,2.0,2.0,2.0,2.0,no,1.0,1.0
546,2019-09-18,10,United Kingdom,Trip Verified,"""An excellent flight""","Manchester to Riga. An excellent flight. Was sitting in seat 20A and travelling to Latvia on business. Arrived early, and flight was only two hours! As always with Ryanair, I got what I expected, and nothing more or less.",Boeing 737-800,Business,Economy Class,Manchester,Riga,September 2019,4.0,5.0,,5.0,5.0,yes,,
547,2019-09-18,1,United Kingdom,Not Verified,"""very unhelpful, very rude""","Ibiza to Leeds. Our flight was at 18:40. We went for breakfast at about 10am and which point I attempted to check in, there was an error, I left and tried twice more later in the day to no luck. At the airport we went to the ""check-in"" area where we were told by a very rude member of Ryanair staff we couldn't check in there because we hadn't done it online and we would need to go to the other side of the airport and pay 110 euros plus another 50 for not checking the bags in. I explained we were unable to due to problems on the ryanair app, two members of staff told us that they were aware of the problems but we needed to pay - members of staff were very unhelpful, very rude and very unprofessional, one even refusing to look at us at any point and both refusing to get a manager. We had to pay the money as we needed to get back, but I am disgusted with the customer service and the price of printing two boarding passes, how they can justify £110 to print two pieces of paper I will never know. Finally when I got back I emailed in a complaint there response ignored all the points and information I provided and just said no refund. I am fuming, disgusted and a fantastic holiday has been ruined by this disgusting excuse of a business. Not that it will matter to them but they have lost two customers through this experience.",,Couple Leisure,Economy Class,Ibiza,Leeds,September 2019,1.0,1.0,1.0,1.0,1.0,no,,
548,2019-09-15,3,United Kingdom,Trip Verified,"""had to pay to change my husbands seat""","Edinburgh to Palma return. The airport staff were rude and ignorant. I had paid for 2x20kg bags and was on the understanding that was both ways but I had to pay £40 in Edinburgh for a case to go on flight and £50 from Palma to get the same case back home with me. I also had to pay £19 to change my husbands seat so we were sitting together. I dont understand why a couple checking in together aren't seated together - its always money, money and they do nothing for you as we even have to weigh our own bags print the tickets that go on the cases and put them thru baggage drop and all the time there is plenty staff, and none of them speak to you or offer help. Never again, shocking how they are getting away what they do .",,Couple Leisure,Economy Class,Edinburgh,Palma,September 2019,1.0,1.0,,1.0,1.0,no,,
549,2019-09-15,1,Lebanon,Trip Verified,"""should have read terms and conditions""","Rome to Budapest. We are 2 travellers with luggage travelling from Rome to Budapest and encountered some issues with the staff as they wouldn't check us in unless we paid 110€, saying that they have sent me an email this morning reminding me to check in online. That is unacceptable to treat customers that way, especially when they have luggage and did not check in online, and say that we should have read the terms and conditions for that clause. Ryanair will take advantage of your situation as they know you have a plane to catch and limited time.",,Couple Leisure,Economy Class,Rome,Budapest,October 2018,,,,1.0,1.0,no,,
550,2019-09-14,2,Ireland,Trip Verified,"""unprofessional for time keeping""",Dubrovnik to Dublin. This airline is a joke but a little bit cheaper at times and the dates suited us to go. Flight was 3 hours delayed flying over and now delayed 18 minutes on departure flying home. Airline is one of the most unprofessional airlines for time keeping.,,Family Leisure,Economy Class,Dubrovnik,Dublin,September 2019,2.0,2.0,2.0,2.0,2.0,no,,
551,2019-09-14,1,Germany,Trip Verified,"""Will never fly with them again""","Berlin to Palma de Mallorca. This airline is the worst I have ever flown with. We arrived at Berlin Tegel Airport 1.5 hours before our flight to check in, only to be told that Ryanair only does online check in and sends a reminder email (which I did not receive). We pleaded with them to let us check in online now and they refused and told us to pay 55 euro each or miss our flight. Our original flight was only 30 euro each, so they charged us more than the actual ticket. We told them this is absurd and terrible customer service and the lady at the ticket counter literally said ""how do you think Ryanair makes their money? Its not my fault its just the way they operate"". To make matters worse, we paid online to be seated together and when printing out our boarding passes for a fee of 110 euros in total, we were told by the check in woman that the computer has automatically generated us different seats and there is nothing she can do. So appalling. Will never fly with them again.",,Couple Leisure,Economy Class,Berlin,Palma de Mallorca,September 2019,1.0,1.0,,1.0,1.0,no,,
552,2019-09-13,1,Ireland,Trip Verified,"""horrible customer service""","Hamburg to Dublin. I fly with Ryanair once or twice a week over 40 weeks of the year. Going forward from my experience today only because they are cheap. And they are a horribly cheap airline with an absolutely horrible customer service. I had a problem checking in via their on line app this afternoon. As a result I ran past their check in deadline time. I rang their service team who told me to go to their service desk at Hamburg. Long story short they charged my €55 to check in. I now know their charges on late check in but there was absolutely no empathy for my issue. No flexibility and couldn’t care less. It was about getting money from me. I had another occasion to contact their customer service team to get back an iPad that I left on their plane. Again absolutely useless in either their knowledge of how to help me and they didn’t care. Luckily I was able to get the iPad back due to the find my phone app. I will fly with them only (and only) because they are cheap. So I will use them the way they use their customers. I predict the unions will create a situation where Ryanair will end up having to charge the same as much better and reputable airlines like Aer Lingus (an absolute pleasure to fly with) and then Ryanair will not last. Zero out of ten for me. If I could give a minus number I would for their customer service and for senior management for putting greedy, non caring and ignorant process and policies in place.",Boeing 737-800,Solo Leisure,Economy Class,Hamburg,Dublin,September 2019,2.0,5.0,5.0,1.0,4.0,no,1.0,
553,2019-09-13,1,United Kingdom,Not Verified,"""£55 to print a boarding pass""","Stansted to Barcelona. Ryanair website would not let us check in,  on arrival asked staff they tried to help but could check us in online either, got directed to the desk where I had to pay £55 x 4 for 4 Traveler because of there computer systems, £55 for a person to print a boarding pass = £220. Then later got to gate and was told to pay £25 for my luggage. Thankfully on my return fly I came back with Norwegian, a total contrast, they where willing to check luggage for free and had free wifi on plane, printed boarding pass with no extra cost. Ryanair are a cheap no frills Airline no customer service. Their response: Dear Customer, Thank you for contacting Ryanair. Checking in online and printing boarding passes up to 2 hours prior departure is compulsory for all our passengers, as accepted in Ryanair’s Terms and Conditions for Travel at the time of booking. We make sure to remind our passengers in time about the online check in via e-mail as well. Passengers who fail to do so are subject to an airport check in fee of £55 per way per passenger. According to the above I am afraid I have to advise you that we are not able to issue a refund on the airport check in fee you encountered. I trust that this has been of assistance. Yours sincerely, The Customer Service Team For and on Behalf of Ryanair.",,Family Leisure,Economy Class,Stansted,Barcelona,September 2019,1.0,1.0,,1.0,1.0,no,,
554,2019-09-12,1,United States,Trip Verified,"""never again after this fiasco""","Dublin to Amsterdam. Tried to check in online, but the website wouldn’t let me type in the passport number box. Tried multiple times, in landscape mode, portrait mode, different WiFi networks, different times. Decided to show up to the airport early to get it taken care of. I was then charged €55 euro for each ticket (two in total) to be printed. The woman asked “Do you have an error message screenshot?” No I did not. I’m a first time flyer with them, and never again after this fiasco.",,Solo Leisure,Economy Class,Dublin,Amsterdam,September 2019,1.0,3.0,,1.0,1.0,no,,
555,2019-09-12,6,Italy,Not Verified,"""Quiet flight and on time""","Milan to Cagliari. Quiet flight and on time, we took a newly built Boeing 737-800. My flight experience is good but it is hateful when the hostesses want to sell you anything. Take-off and landing done well. Volo tranquillo ed in orario, abbiamo preso un Boeing 737-800 di nuova costruzione. La mia esperienza di volo è buona ma è odioso quando le hostess ti vogliono vendere qualsiasi cosa. Decollo e atterraggio fatti bene.",Boeing 737-800,Family Leisure,Economy Class,Milan,Cagliari,October 2018,2.0,2.0,,1.0,4.0,yes,,
556,2019-09-11,1,Australia,Not Verified,"""55 euros for a boarding pass""",Amsterdam to Dublin. Was first at the check-in counter to get to the front to say we had to check in online and had to now pay 55 euros for a boarding pass. What an absolute joke. What other airline charges for the boarding pass? Isn't that what we are paying for?,,Family Leisure,Economy Class,Amsterdam,Dublin,September 2019,1.0,1.0,,1.0,1.0,no,,
557,2019-09-11,1,Canada,Trip Verified,"""charged me to check-in at airport""",Rome to Barcelona. Ryanair charged me to check-in at the airport for 55 euros a person which is almost more than the ticket itself. Then flight is delayed for 6 hours and staff don't know what is happening and if there will even be a flight. No one was there to help answer any questions and no reimbursement was given of any kind.,,Solo Leisure,Economy Class,Rome,Barcelona,September 2019,1.0,1.0,,1.0,1.0,no,,
558,2019-09-11,2,Spain,Trip Verified,"""No customer service at all""","We flew Shannon to Malaga and after passing the boarding gate all passengers were sent outside to enter the aircraft. The distance from the gate to the aircraft was around 250 meters. As the ground staff asked us to wait 50 meters away from the aircraft as works were still ongoing we had to wait for 10 minutes in the cold and even when it started to rain they made us wait in the rain. When we finally were allowed, soaked wet, to enter the plane nobody apologized for this situation and stewards were blaming the ground staff. In addition the cabin was dirty, bread crumbs, litter, toilet dirty, just disgusting. I fly regularly with other low budget carrier but Ryanair is by far the worst when it comes to service. No customer service at all, not courtesy.",,Couple Leisure,Economy Class,Shannon,Malaga,September 2019,2.0,1.0,1.0,1.0,1.0,no,,
559,2019-09-10,1,United States,Trip Verified,"""charge if you don’t get boarding pass""","Barcelona to Palma. As stated by many, they will charge you (in my case $113 for 2 tickets) if you don’t get your boarding pass 2 hours earlier. They told me that they had sent me an email but it was an email regarding being there 3 hours earlier and no email regarding check in. As most reviews point so many passengers get duped and get charged. I will not be using them again and may look into legal pursuit. The money is not the issue but the principle is.",,Couple Leisure,Economy Class,Barcelona,Palma,August 2019,3.0,2.0,1.0,1.0,1.0,no,1.0,1.0
560,2019-09-09,1,United Kingdom,Trip Verified,"""delayed every time without fail""","Unfortunately I have no choice but to use this airline from Manchester to Shannon as they are the only airline available. They are by far the most unreliable airline I have ever used, I fly every 2 week and I can’t remember the last time the flight was on time from Shannon to Manchester, it is delayed every time without fail, the flights have also gone up and I would much rather pay double the price and use a reliable airline and as soon as I have the choice to use another airline I will be doing. I am not sat in the airport waiting for another delayed flight, they assured the customers the flight will be boarding at quarter to as the flight it delayed, yet it is now ten minutes over that time, which is another blatant lie they tell the customers weekly, not only do they never leave on the stated time, they also never leave on the time they state the flight is delayed till.",,Couple Leisure,Economy Class,Shannon,Manchester,September 2019,2.0,1.0,2.0,1.0,1.0,no,1.0,1.0
561,2019-09-09,1,United Kingdom,Trip Verified,"""An unpleasant experience""","Barcelona to Manchester. An unpleasant experience right from the time of booking the tickets. The airline is a joke. They charged extra for baggage. And again 110 euros extra in the airport to issue boarding passes, as we had not checked in 2 hours prior to departure. Not encountered this with any other airline. The tagline says Fly cheaper, however I found the airline to be ""really cheap"", and tickets very expensive. Would advice to give this airline a skip.",,Couple Leisure,Economy Class,Barcelona,Manchester,September 2019,1.0,1.0,1.0,1.0,1.0,no,1.0,1.0
562,2019-09-08,1,Romania,Trip Verified,"""Cabin crew were useless""","The flight was delayed 3 hours. We were kept in the airplane for this time. Cabin crew were useless, they did not provide any information. When someone told them that it is not ok not to say anything about the delay, they answered rudely “you were happy when you paid the cheapest ticket on the market, now face the consequences”. I will never fly with Ryanair again.",Boeing 737-800,Family Leisure,Economy Class,Bucharest,Bergamo,March 2019,2.0,1.0,,3.0,1.0,no,,
563,2019-09-08,2,Latvia,Trip Verified,"""the quality of service gets worse and worse""","Bordeaux to Copenhagen. The flight was late. Cabin bag policy is inconsistent. Staff are cold. Rules are made to apply as many extra charges as is possible. I am used to flying with Ryanair, used it for the past 7 years, and do not expect luxury. But the quality of service gets worse and worse.",,Solo Leisure,Economy Class,Bordeaux,Copenhagen,September 2019,2.0,3.0,,1.0,2.0,no,,
564,2019-09-03,1,United Arab Emirates,Trip Verified,"""rubbish check-in policy""","Athens to Santorini. Don't book your flight with this airline. This airline charged us 274 euros for the boarding pass and baggage on top of our flight. A rubbish check-in policy that only allows you to check-in online until 2 hours before the flight or else you’ll be fined. The policy was not stipulated or highlighted on our booking confirmation. Aside from that, we were charged extra for bringing hand small trolley as they only allow small bags.",,Solo Leisure,Economy Class,Athens,Santorini,September 2019,1.0,1.0,,1.0,1.0,no,,
565,2019-09-03,1,United States,Trip Verified,"""fee to just get a boarding pass""",Cologne to Marrakech. They hide their 50 dollar crazy fee to just get a boarding pass at the airport.  Will never fly with them ever again.,,Solo Leisure,Economy Class,Cologne,Marrakech,September 2019,2.0,1.0,1.0,1.0,1.0,no,1.0,1.0
566,2019-09-03,1,United Kingdom,Not Verified,"""inconsistent customer service""","Paphos to Stansted. Only had one flight with Ryanair that was on time, the other 5/6 typically an hour late. Poor, inconsistent customer service and rude staff, charged €100 for cabin bags just to end up in hold, whilst other tagged cabin bags were allowed to be kept on. Customer satisfaction is not a priority for Ryanair",,Family Leisure,Economy Class,Paphos,Stansted,September 2019,1.0,1.0,2.0,1.0,2.0,no,1.0,1.0
567,2019-09-02,1,United Kingdom,Not Verified,"""pay a little bit extra""","Copenhagen to Stansted. Ryanair is a cheap airline that rips you off for everything possible. We are family of four travel back from Istanbul, unfortunately, the last leg was Ryanair from CPH. This review may be useful for other readers not to get caught by Ryan Air at the gate where they completely rip you off. Firstly when they allocate the seats while we were on holiday they put the family members in completely different locations so to get seats allocated to sit together you need to pay £8 per seat. My 12-year-old daughter when her birthday still in December they say she is 13 and need to sit on her own. We got the boarding pass while we were on holiday by kiwi.com and boarding pass says, if you need to carry 2 cabin bags you need to buy priority but one cabin bag is allowed and standard sizes are mentioned. In the checking desk, they check your bag says only small cabin bag is allowed which is much smaller than the standard size and ask you to pay 25 Euro per bag that is Euro 100 for my family. I should have easily got much better airline for that amount of extra money. So readers, do not fly Ryanair they will con you to your last penny to make money. You can just pay a little bit extra and have a good flight with no headache. I was travelling the same trip with Pegasus and Jet2.com airlines and we did not have any issues at all.",,Family Leisure,Economy Class,Copenhagen,Stansted,September 2019,1.0,1.0,,1.0,1.0,no,,
568,2019-09-02,5,United Kingdom,Not Verified,"""What a money grab""",Dublin to Berlin. What a stupid move on Ryanair’s part to purposefully seat passengers travelling together apart unless they pay the extra fee to choose seats. Recently travelled with my husband and we were assigned completely different seats even though the seat next to him was empty! First airline I’ve experienced that’s done this. What a money grab.,,Couple Leisure,Economy Class,Dublin,Berlin,September 2019,2.0,4.0,,3.0,3.0,no,,
569,2019-09-02,1,United Kingdom,Trip Verified,"""Terrible as always""",Leeds to Faro. Terrible as always. I avoid this airline like the plague but a friend booked this trip. Use Jet2 if flying from Leeds. This airline always finds a way to charge more. £260 for boarding cards last time after their site went down and we were still charged. A confusing bag policy this time meant our whole group of 7 apart from me was charged extra for bringing hand luggage.,,Solo Leisure,Economy Class,Leeds,Faro,September 2019,1.0,1.0,1.0,1.0,1.0,no,1.0,1.0
570,2019-09-02,1,United Kingdom,Trip Verified,"""Changed my flight""",Stansted to Rome. Awful. Changed my flight (3+ hours) couldn't offer another flight on same day so suggest I move my holiday dates even though explained accommodation booked. Transferred my details wrong when eventually switched flight and then got charged £115 even though I did not change they refused to accept. No complaint number to ring direct. Just state to complain via form. Loads of people have had problems with Ryanair's system incorrectly name saving but they refuse to take responsible.,,Family Leisure,Economy Class,Stansted,Rome,September 2019,2.0,2.0,,1.0,1.0,no,,
571,2019-09-02,2,United Kingdom,Not Verified,"""pay an extra £50 for my case""","Leeds to Ibiza. We paid £30 extra for priority baggage and boarding, then got told by the rude supervisor that if I didn’t pay an extra £50 for my case as it didn’t fit in the metal box. I wouldn’t be allowed to fly, the supervisor was rude to numerous passengers on the flight not just us.",Boeing 737-800,Family Leisure,Economy Class,Leeds,Ibiza,September 2019,1.0,1.0,,1.0,1.0,no,,
572,2019-09-01,1,United States,Not Verified,"""told we had to pay for the boarding pass""","Santorini to Athens with Ryanair. I got to the airport in Santorini 2 hrs and 45 minutes prior to the flight we were unable to go in until the flight was open 2 hrs prior. At that point was told we had to pay for the boarding pass. I had no internet service and was unable to read the notice or check in online prior to arrival. It was just the fact that we had to pay Euros 68 for a boarding pass, it is the actual policy that exists that someone has to pay that amount because they were not able to check in online and print a boarding pass while on a vacation. After travelling on several airlines prior and enjoying a fantastic vacation, it was absolutely disappointing to have to spend that money. It was like buying a ticket all over again. No one should be subject of that kind of treatment /stress while on vacation.",,Solo Leisure,Economy Class,Santorini,Athens,August 2019,2.0,1.0,,1.0,1.0,no,,
573,2019-09-01,3,Serbia,Trip Verified,"""a disaster airline company""","Budapest to Prague with Ryanair. I have travelled with them many times and 10 kg cabin suitcase was always allowed. Now they excluded this and I didn’t realize that so I ended up paying extra 25 eur for my small suitcase that had to be checked in. In Budapest I had non priority and they had two lines and they didn’t allow people to mix lines-stricly priority one line non priority different line. However, on my way back I paid 15 eur online to have priority ticket-turned out that now I cannot check my suitcase in but I have to carry it to the plane. From Prague there weren’t two lines so even though I was priority I was waiting in the line again. Finally, the flight from Prague to Budapest was more than one hour late. On the plane I bought a tea for 3 eur, of course, they didn’t give me a receipt. Seriously a disaster airline company.",,Solo Leisure,Economy Class,Budapest,Prague,August 2019,2.0,3.0,1.0,3.0,1.0,no,1.0,1.0
574,2019-08-31,2,United Kingdom,Not Verified,"""shambles of a service""",Mallorca to Edinburgh. Absolute shambles of a service. I understand Ryanair is a budget airline that operates between fine margins but even so it is unacceptable the frequency of which this airline’s flights are delayed. Legroom on these aircraft is a joke with no adjustability which results in a very uncomfortable journey. Only positive is the price.,B737,Couple Leisure,Economy Class,Mallorca,Edinburgh,August 2019,1.0,3.0,1.0,1.0,2.0,no,1.0,1.0
575,2019-08-31,8,United States,Not Verified,"""print boarding pass ahead of time""","Rome to Paris. Hidden fees You have to print your boarding pass ahead of time or else pay an extra 50+ euros for your boarding pass at the airport, which we tried to do but couldn't because the Ryanair website kept on crashing. I even called customer support, and they told me not to worry about it, but to just show up at the airport at the usual time and tell them about my tech issues. What a lie this was; when I showed up I was told I had to pay up along with everyone else who couldn't or didn't print their boarding pass. The 1.5 hour flight was packed with flight attendents moving up and down the tiny aisle, selling things at the top of their lungs. When I asked one of them a question about the flight, they were rude and short with me, unsmiling. Uncomfortable seats. The terribleness of this flight was endless.",,Family Leisure,Economy Class,Rome,Paris,August 2019,1.0,1.0,,1.0,1.0,no,,
576,2019-08-30,1,India,Trip Verified,"""this was the most bizarre experience""","I traveled from Athens Greece to Sophia Bulgaria by Ryanair and due to internet issues I could not get the boarding pass. At the airport I was denied to travel and was forced to pay 55 Euros to get the boarding pass. This was a big blow and jeopardized my traveling budget too. I have travelled to more than 35 countries with almost all the airlines, but this happened for the first time. This is clear cut loot and black trick for Ryanair to make money. It is mandatory by the airlines to provide boarding passes online or offline. But this was the most bizarre experience. I have decided not to travel this airline again who squeeze money from the passengers, which is their right when they by the airline tickets.",,Couple Leisure,Economy Class,Athens,Sophia,July 2019,1.0,1.0,,2.0,1.0,no,,
577,2019-08-30,10,United Kingdom,Trip Verified,"""airline did a great job""","Stansted to Porto. I was worried about the strike dates. The airline did a great job and flight took off as per schedule. I have travelled with Ryanair a few times and the staff are very courteous, seats are great for short haul and overall service is as it says on its website. I will  use Ryanair over many other airlines. Well done and keep up the good work.",,Family Leisure,Economy Class,Stansted,Porto,August 2019,4.0,4.0,4.0,4.0,4.0,yes,2.0,2.0
578,2019-08-29,1,Canada,Trip Verified,"""Missed our flight""","Stansted to Knock. Missed our flight due to the long queue at the service desk alone. Can’t understand the use of electronic boarding pass when they don’t have stalls where you can self drop off your baggage, unlike any other airlines. We were a family of five with a baby and we’re frequent flyers. No one assisted us - have to carry our luggage back. We were tired from walking a long way to the gate rushing at Stansted airport. Our sole check-in luggage was not refunded £25 pounds that we claimed back because we ended up flying another airline going to Ireland. Rude service desk even to the manager not hearing our side. Wouldn’t fly again. Please avoid them. I didn’t believe other people reviews but now I totally regret it. Just very poor service.",,Family Leisure,Economy Class,Stansted,Knock,August 2019,,,,1.0,1.0,no,,
